video_id,video_timestamp,video_duration,video_locationcreated,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7315561816673750318,2023-12-22T18:16:20,18,US,3500000,39000,10500,18400000,Bonus flipnote for you,False,,zanelittlemusic,Zane Little,,,,,,False
7315096362536733995,2023-12-21T12:10:04,5,US,843500,18100,7696,5800000,Man Yall Dont Get Food From SHEIN EVER🫠😵#fyp #viral #real #walkintae #dance #trend #workinprogress #food ,False,,2hype.tae,The Hypest in Da Game😈🤟🏾🖤,,,,,,False
7312077336562814254,2023-12-13T08:55:13,36,US,942700,1080,1533,5100000,Sometimes the answer is simply quality time. #momofmultiples #bigsister ,False,,nikadiwa,Nika Diwa,,,,,,False
7309270651833994538,2023-12-05T19:23:26,15,US,3500000,15900,8155,13500000,They were so aggressive #fyp #justinbieber #sorry #fyp ,False,,jxd_x5,Jolie,,,,,,False
7307807689826929966,2023-12-01T20:46:19,9,US,463300,935,882,1700000,ITS A FILTER ,False,,vivianviah,Vivi,,,,,,False
7314460767946837294,2023-12-19T19:03:40,6,US,1100000,10400,3651,7300000,DR. BARB REPORTING FOR DUTY 🫡,False,,therealdrmiami,Dr. Miami,,,,,,True
7314550762682535176,2023-12-20T00:52:47,24,KR,227600,385,1005,2700000,#광고 👧🏽  곱슬머리 18년차의 인생템🎀✨💕 #다이슨 #Dyson #다이슨에어스트레이트#다이슨에어스트레이트스트레이트너 ,False,,__jennypark__,박제니,,,,,,False
7303023221639515422,2023-11-18T23:20:11,5,US,132600,66,655,1200000,words can’t describe how bad it is😭 #kimchifoundation ,False,,cokenotcola,lydia,,,,,,False
7309171644809956650,2023-12-05T12:59:22,56,US,91,1,2,1389,DORM TOURS: Shafer!! Highly requested!! We are almost done touring ALL the dorms💓💓,False,,wellesleyreslife,Wellesley College Res Life,,,,,,False
7293523985466215682,2023-10-24T09:58:09,19,KR,2700000,37700,13800,18300000,(🐰🦊🧸🐿️🐧)⊃━☆•*⋆.𝑗𝑢𝑠𝑡 𝑙𝑖𝑘𝑒 𝑎 𝑓𝑎𝑖𝑟𝑦 𝑡𝑎𝑙𝑒 𝑒𝑛𝑑𝑖𝑛𝑔₊˚·♫☆ #HappilyEverAfter #TXT #FREEFALL ,True,,txt.bighitent,TOMORROW X TOGETHER,,,,,,True
